"price","mileage","year","model","date","origin","website_id","car_id","perthousand_mileage","predicted","residuals"
10900,87109,"2014","Scion xB","2020-12-17","autotrader",1,1,87.109,10286.2662030525,613.733796947473
10888,97840,"2015","Scion xB","2020-12-17","autotrader",1,1,97.84,11205.4196015746,-317.419601574583
5999,111067,"2013","Scion xB","2020-12-17","autotrader",1,1,111.067,8850.77625633994,-2851.77625633996
3999,178972,"2006","Scion xB Release Series 4.0","2020-12-17","autotrader",1,1,178.972,4366.66424665958,-367.664246659593
6333,91000,"2008","Scion xB","2020-12-17","autotrader",1,1,91,7479.69476486863,-1146.69476486864
8995,72036,"2010","Scion xB","2020-12-17","autotrader",1,1,72.036,9215.47029907441,-220.470299074426
5999,109040,"2009","Scion xB","2020-12-17","autotrader",1,1,109.04,7546.11498715014,-1547.11498715015
8977,103389,"2012","Scion xB","2020-12-17","autotrader",1,1,103.389,8470.66674120625,506.333258793733
6999,134293,"2013","Scion xB","2020-12-17","autotrader",1,1,134.293,8067.81981968535,-1068.81981968537
7999,117321,"2012","Scion xB","2020-12-17","autotrader",1,1,117.321,8001.01423644987,-2.01423644988494
8995,96791,"2009","Scion xB","2020-12-17","autotrader",1,1,96.791,7959.032983903,1035.96701609698
7995,181519,"2012","Scion xB","2020-12-17","autotrader",1,1,181.519,5836.87760851776,2158.12239148223
6995,124166,"2009","Scion xB","2020-12-17","autotrader",1,1,124.166,7036.21233233066,-41.2123323306716
5500,161100,"2009","Scion xB","2020-12-17","autotrader",1,1,161.1,5791.15450784945,-291.154507849464
7372,129082,"2011","Scion xB Release Series 8.0","2020-12-17","autotrader",1,1,129.082,7566.17246504745,-194.172465047466
12750,47000,"2015","Scion xB 10 Series","2020-12-17","autotrader",1,1,47,12919.2534618828,-169.253461882824
10351,91104,"2012","Scion xB","2020-12-17","autotrader",1,1,91.104,8884.79831032283,1466.20168967716
8995,64633,"2008","Scion xB","2020-12-17","autotrader",1,1,64.633,8368.53539025705,626.464609742936
5995,226091,"2008","Scion xB","2020-12-17","autotrader",1,1,226.091,2925.73075969749,3069.2692403025
6995,165733,"2009","Scion xB","2020-12-17","autotrader",1,1,165.733,5634.97448670845,1360.02551329153
6995,139315,"2011","Scion xB","2020-12-17","autotrader",1,1,139.315,7221.21452066243,-226.214520662449
13688,70931,"2015","Scion xB","2020-12-17","autotrader",1,1,70.931,12112.5312331055,1575.46876689445
4995,165910,"2011","Scion xB Release Series 8.0","2020-12-17","autotrader",1,1,165.91,6324.6879369705,-1329.68793697052
9495,90910,"2013","Scion xB","2020-12-17","autotrader",1,1,90.91,9530.27564898811,-35.2756489881337
4990,183414,"2008","Scion xB","2020-12-17","autotrader",1,1,183.414,4364.38708653413,625.612913465855
